PRODUCER AGENCY               : NASA                                            
443016400 -380781.8930168744 -1.618366168185375 0.001084203342094202 -444293.208304256 -0.0007743969108765967 4.586727532166293e-07 1.300683358800738e-09 2.88950560326166 -3.843985340791091e-07 6.421443497571804e-08 672 655 656 675  00000000
443016405 -380789.9712314259 -1.612906854313058 0.001099609453515835 -444293.2082350801 -0.000772087307554046 4.651646678590039e-07 1.29588224386927e-09 2.889504591757921 -9.751125872695303e-08 1.802669615828844e-08 680 669 656 675  00000000
443016410 -380798.0219545655 -1.607369388425724 0.001115173318058259 -444293.2081352352 -0.0007697453150962972 4.716264627018091e-07 1.28933661729756e-09 2.889504607278386 9.048348881697882e-08 -1.115200812873264e-08 680 669 667 697  00000000
443016415 -380806.044799662 -1.601755924952722 0.001130475768613377 -444293.2080452698 -0.0007673710710845958 4.780681074162149e-07 1.284169812422261e-09 2.889504572475852 -4.462230636398946e-08 3.905706851765677e-08 684 676 667 697  00000000
443016420 -380814.0393826292 -1.59606449812276 0.001145804397928545 -444293.207940239 -0.0007649648041939844 4.844127312002713e-07 1.255916302249284e-09 2.889504619886098 -7.02695438124406e-08 -8.198917251968537e-08 684 676 669 704  00000000
443016425 -380822.0053197101 -1.590297429029349 0.001161239974349359 -444293.2078420683 -0.000762527011455348 4.90717141428762e-07 1.268422654519491e-09 2.88950369090486 -1.926117324166757e-07 1.739508354311111e-08 684 674 669 704  00000000
443016430 -380829.9422275616 -1.584453237291361 0.00117626311453852 -444293.2077704018 -0.0007600575870268827 4.970434453623481e-07 1.258898902233125e-09 2.889502685535696 -2.084438655928749e-07 2.649929761178529e-08 684 674 671 704  00000000
443016435 -380837.8497278872 -1.578534250165658 0.001191407782975075 -444293.2076384748 -0.0007575566727300249 5.033156525535989e-07 1.25048020624608e-09 2.889502336683551 8.203142245541253e-08 4.959866314418881e-08 690 676 671 704  00000000
443016440 -380845.7274432583 -1.572539290008694 0.001206533896606226 -444293.2075394074 -0.0007550245045905462 5.095429380511669e-07 1.240191629012961e-09 2.889503113922664 1.350403856442625e-07 -6.963206165815191e-08 690 676 671 710  00000000
443016445 -380853.5749961061 -1.566469530131832 0.001221330310034211 -444293.2073948914 -0.0007524613325367371 5.157166667421679e-07 1.229117158001444e-09 2.88950235751028 -4.17603117248938e-07 -4.659175485025389e-08 685 673 671 710  00000000
443016450 -380861.392015459 -1.560325836503465 0.001236176557479027 -444293.2072069161 -0.0007498674350011399 5.218321618618822e-07 1.21689396941366e-09 2.889500481446128 -2.586301497865449e-07 5.240352734786441e-08 685 673 670 700  00000000
